City,Year,Fuel Type,Transmission,Price_PKR,Mileage_km,Engine_cc,Brand,Model,Variant,Car_Age,log_price
Islamabad,2011,Petrol,Manual,2900000.0,225000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,15,14.88022163978423
Lahore,2015,Petrol,Manual,2085000.0000000002,113000,1300.0,Suzuki,Swift,DLX 1.3,11,14.550279892831231
Islamabad,2011,Petrol,Manual,3200000.0,70000,1300.0,Toyota,Corolla,XLi VVTi,15,14.978661680269907
Karachi,2017,Petrol,Automatic,3350000.0,70000,1300.0,Honda,City,5th (GM2) Generation Aspire Prosmatec 1.3 i-VTEC,9,15.024471202308668
Karachi,2022,Petrol,Automatic,2800000.0,60500,1300.0,Proton,Saga,1.3L Ace A/T,4,14.845130332288226
Lahore,2018,Petrol,Manual,3850000.0,105745,1300.0,Honda,City,1.3 i-VTEC,8,15.163583966004193
Lahore,1998,Petrol,Manual,750000.0,99000,1300.0,Suzuki,Margalla,,28,13.527829818844937
Lahore,2020,Petrol,Manual,3425000.0,84345,1300.0,Honda,City,1.3 i-VTEC,6,15.046612321649222
Lahore,2016,Petrol,Manual,3200000.0,82000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,10,14.978661680269907
Islamabad,2019,Petrol,Manual,4700000.0,92700,1300.0,Toyota,Corolla,XLi VVTi,7,15.363073279446223
Islamabad,2020,Petrol,Manual,3825000.0,99000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,6,15.157069286680647
Karachi,1996,Petrol,Manual,550000.0,178000,1300.0,Suzuki,Margalla,GL,30,13.217675375388819
Islamabad,2012,Petrol,Manual,2700000.0,230000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,14,14.80876270134486
Lahore,2007,Petrol,Manual,1235000.0,167000,1300.0,Suzuki,Liana,RXi,19,14.026582337760486
